s_index,sec_number,stage_number,stage_title,q_short,q_title,first_in_sec,is_required,variable_name,text_field_type,options,options_val,condition,condition_range
8,s8,2,reviewing_vid_claim_title,,optional_note,,0,note_vid_forensic_discrepency,textarea,,,has_video==1,"s39,s44"
9,s9,2,reviewing_vid_claim_title,claim_vid_metadata_discrepency_q_short,claim_vid_metadata_discrepency_q_long,1,0,vid_metadata_discrepency,radio,"claim_vid_metadata_discrepency_q_options_yes,claim_vid_metadata_discrepency_q_options_no,not_sure",-1 1 0,has_video==1,"s39,s44"
9,s9,2,reviewing_vid_claim_title,,optional_note,,0,note_vid_metadata_discrepency,textarea,,,has_video==1,"s39,s44"
10,s10,2,reviewing_vid_claim_title,claim_vid_audio_discrepency_q_short,claim_vid_audio_discrepency_q_long,1,0,vid_audio_discrepency,radio,"claim_vid_audio_discrepency_q_options_yes,claim_vid_audio_discrepency_q_options_no,not_sure",-1 1 0,has_video==1,"s39,s44"
10,s10,2,reviewing_vid_claim_title,,optional_note,,0,note_vid_audio_discrepency,textarea,,,has_video==1,"s39,s44"
11,s11,2,reviewing_vid_claim_title,claim_vid_logical_discrepency_q_short,claim_vid_logical_discrepency_q_long,1,0,vid_logical_discrepency,radio,"claim_vid_logical_discrepency_q_options_yes,claim_vid_logical_discrepency_q_options_no,not_sure",-1 1 0,has_video==1,"s39,s44"
11,s11,2,reviewing_vid_claim_title,,optional_note,,0,note_vid_logical_discrepency,textarea,,,has_video==1,"s39,s44"
12,s12,3,reviewing_txt_claim_title,claim_txt_review_started_q_short,claim_txt_review_started_q_long,1,0,txt_review_started,radio,"claim_txt_review_started_q_options_yes,claim_txt_review_started_q_options_no",1 -1,,
13,s13,3,reviewing_txt_claim_title,claim_txt_unreliable_news_content_q_short,claim_txt_unreliable_news_content_q_long,1,0,txt_unreliable_news_content,radio,"claim_txt_unreliable_news_content_q_options_yes,claim_txt_unreliable_news_content_q_options_no,not_sure",-1 1 0,,
13,s13,3,reviewing_txt_claim_title,,optional_note,,0,note_txt_unreliable_news_content,textarea,,,,
14,s14,3,reviewing_txt_claim_title,claim_txt_insufficient_verifiable_srcs_q_short,claim_txt_insufficient_verifiable_srcs_q_long,1,0,txt_insufficient_verifiable_srcs,radio,"claim_txt_insufficient_verifiable_srcs_q_options_yes,claim_txt_insufficient_verifiable_srcs_q_options_no,not_sure",-1 1 0,,
14,s14,3,reviewing_txt_claim_title,,optional_note,,0,note_txt_insufficient_verifiable_srcs,textarea,,,,
15,s15,3,reviewing_txt_claim_title,claim_txt_has_clickbait_q_short,claim_txt_has_clickbait_q_long,1,0,txt_has_clickbait,radio,"claim_txt_has_clickbait_q_options_yes,claim_txt_has_clickbait_q_options_no,not_sure",-1 1 0,,
15,s15,3,reviewing_txt_claim_title,,optional_note,,0,note_txt_has_clickbait,textarea,,,,
16,s16,3,reviewing_txt_claim_title,claim_txt_poor_language_q_short,claim_txt_poor_language_q_long,1,0,txt_poor_language,radio,"claim_txt_poor_language_q_options_yes,claim_txt_poor_language_q_options_no,not_sure",-1 1 0,,
16,s16,3,reviewing_txt_claim_title,,optional_note,,0,note_txt_poor_language,textarea,,,,
17,s17,3,reviewing_txt_claim_title,claim_txt_crowds_distance_discrepency_q_short,claim_txt_crowds_distance_discrepency_q_long,1,0,txt_crowds_distance_discrepency,radio,"claim_txt_crowds_distance_discrepency_q_options_yes,claim_txt_crowds_distance_discrepency_q_options_no,not_sure",-1 1 0,,
17,s17,3,reviewing_txt_claim_title,,optional_note,,0,note_txt_crowds_distance_discrepency,textarea,,,,
18,s18,3,reviewing_txt_claim_title,claim_txt_author_offers_little_evidence_q_short,claim_txt_author_offers_little_evidence_q_long,1,0,txt_author_offers_little_evidence,radio,"claim_txt_author_offers_little_evidence_q_options_yes,claim_txt_author_offers_little_evidence_q_options_no,not_sure",-1 1 0,,
18,s18,3,reviewing_txt_claim_title,,optional_note,,0,note_txt_author_offers_little_evidence,textarea,,,,
19,s19,3,reviewing_txt_claim_title,claim_txt_reliable_sources_disapprove_q_short,claim_txt_reliable_sources_disapprove_q_long,1,0,txt_reliable_sources_disapprove,radio,"claim_txt_reliable_sources_disapprove_q_options_yes,claim_txt_reliable_sources_disapprove_q_options_no,not_sure",-1 1 0,,
19,s19,3,reviewing_txt_claim_title,,optional_note,,0,note_txt_reliable_sources_disapprove,textarea,,,,
20,s20,4,calculating_score_claim_title,calculated_score_q_short,calculated_score_q_long,1,0,,,,,,
21,s21,5,assessing_claim_rel_title,review_verdict_q_short,review_verdict_q_long,1,1,review_verdict,radio,"rate_false,rate_mostly_false,rate_mixed,rate_mostly_true,rate_true,rate_no_decision",1 2 3 4 5 0,,
21,s21,5,assessing_claim_rel_title,review_description_q_short,review_description_q_long,,0,review_description,textarea,,,,
21,s21,5,assessing_claim_rel_title,,optional_note,,0,note_review_description,textarea,,,,
22,s22,6,share_setting,share_setting_brief,review_sharing_mode_q_long,1,1,review_sharing_mode,radio,"yes_share,no_share",1 -1,,
22,s22,6,share_setting,,claim_review_field,,0,note_review_sharing_mode,textarea,,,,
22,s22,6,share_setting,share_setting_brief,add_to_blockchain_q_long,,0,add_to_blockchain,radio,"yes,no",1 0,,
